V1 SRM Frequency-Only Ablation
Evaluation subset: 500 CIFAKE test images
250 REAL / 250 FAKE

SRM ROBUSTNESS RESULTS
----------------------------------------------------
Condition               Accuracy      Drop
----------------------------------------------------
clean                      0.870     0.000
jpeg_90                    0.870     0.000
jpeg_70                    0.850     0.020
jpeg_50                    0.762     0.108
jpeg_30                    0.812     0.058
blur_0.5                   0.768     0.102
blur_1.0                   0.608     0.262
blur_2.0                   0.532     0.338
resize_0.5                 0.596     0.274
resize_0.25                0.528     0.342
noise_0.02                 0.796     0.074
noise_0.05                 0.522     0.348
noise_0.10                 0.500     0.370
jitter_0.8                 0.842     0.028
jitter_1.2                 0.784     0.086
crop_0.8                   0.570     0.300
jpeg30_resize025           0.526     0.344
blur2_jpeg50               0.538     0.332
resize025_noise010         0.500     0.370
crop08_jpeg70              0.594     0.276
blur1_resize05_jpeg50      0.548     0.322
